ID,Name,Category,BasePrice,Status
F001,Bánh Tiramisu,Bánh ngọt,39000,Available
F002,Bánh Croissant,Bánh ngọt,35000,Available
F003,Bánh Donut,Bánh ngọt,36000,Available
F004,Bánh Macaron,Bánh ngọt,25000,Available
F005,Bánh Pizza,Pizza,89000,Available
F006,Bánh Bông Lan Trứng Muối,Bánh mặn,40000,Available
F007,Cookie,Bánh quy,18000,Available
F008,Bánh Mì Bơ Tỏi,Bánh mặn,32000,Available
F009,Sandwich Gà,Sandwich,55000,Available
F010,Khoai Tây Chiên,Đồ ăn vặt,45000,Available
F011,Gà Sốt Hàn Ngọt,Đồ ăn vặt,40000,Available
F012,Lạp Xưởng Nướng Đá,Nướng,10000,Available
F013,Salad Cá Ngừ,Salad,55000,Available
F014,Mì Ý Sốt Bò Bằm,Món chính,55000,Available
F015,Combo Bánh Ngọt,Combo,99000,Available
