InvoiceNumber,Date,Time,CustomerName,TotalAmount,Discount,VoucherCode,Status,ItemsJson
HD20260807-204735,07/08/2026,16:47:35,Khách vãng lai,414000.0,30,DISCOUNT_082,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D001"",""name"":""Cà phê đen đá"",""note"":"""",""quantity"":3,""size"":""S"",""toppings"":"""",""totalPrice"":75000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D011"",""name"":""Trà vải thiều"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":110000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D024"",""name"":""Chanh dây đá xay"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":171000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":2,""size"":""S"",""toppings"":"""",""totalPrice"":58000.0}]"
HD20260807-202638,07/08/2026,15:26:38,Khách vãng lai,287000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":37000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D015"",""name"":""Trà sữa matcha"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":100000.0},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D007"",""name"":""Latte"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":150000.0}]"
HD20260807-192626,07/08/2026,15:26:26,Khách vãng lai,18000.0,30,DISCOUNT_061,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0}]"
HD20260807-184554,07/08/2026,15:45:54,Khách vãng lai,468000.0,0,,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F015"",""name"":""Combo Bánh Ngọt"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":297000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D024"",""name"":""Chanh dây đá xay"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":171000.0}]"
HD20260807-183400,07/08/2026,14:34:00,Khách vãng lai,42000.0,30,DISCOUNT_072,Completed,"[{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":1,""size"":""L"",""toppings"":"""",""totalPrice"":42000.0}]"
HD20260807-183313,07/08/2026,14:33:13,Khách vãng lai,75000.0,20,DISCOUNT_099,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F014"",""name"":""Pudding Caramel"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":75000.0}]"
HD20260807-173030,07/08/2026,14:30:30,Khách vãng lai,454000.0,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D024"",""name"":""Chanh dây đá xay"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":124000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D021"",""name"":""Nước ép cam"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":110000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":3,""size"":""S"",""toppings"":"""",""totalPrice"":96000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D024"",""name"":""Chanh dây đá xay"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":124000.0}]"
HD20260807-171232,07/08/2026,14:12:32,Khách vãng lai,263000.0,25,DISCOUNT_085,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F009"",""name"":""Cookie Chocolate Chip"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":18000.0},{""category"":""Food"",""ice"":"""",""id"":""F001"",""name"":""Bánh Tiramisu"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":39000.0},{""category"":""Drink"",""ice"":""Ít đá"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":2,""size"":""L"",""toppings"":"""",""totalPrice"":110000.0},{""category"":""Food"",""ice"":"""",""id"":""F011"",""name"":""Brownie Socola"",""note"":"""",""quantity"":3,""size"":""M"",""toppings"":"""",""totalPrice"":96000.0}]"
HD20260807-170746,07/08/2026,14:07:46,Khách vãng lai,261000.0,25,DISCOUNT_085,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F011"",""name"":""Brownie Socola"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":64000.0},{""category"":""Food"",""ice"":"""",""id"":""F004"",""name"":""Bánh Macaron"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":50000.0},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D013"",""name"":""Trà chanh mật ong"",""note"":"""",""quantity"":3,""size"":""L"",""toppings"":"""",""totalPrice"":147000.0}]"
HD20260807-170105,07/08/2026,14:01:05,Khách vãng lai,72000.0,10,DISCOUNT_080,Completed,"[{""category"":""Food"",""ice"":"""",""id"":""F003"",""name"":""Bánh Donut"",""note"":"""",""quantity"":2,""size"":""M"",""toppings"":"""",""totalPrice"":72000.0}]"
