MenuID,Size,IngredientID,Quantity,Optional

D001,S,ING001,16,false
D001,S,ING010,150,true
D001,M,ING001,18,false
D001,M,ING010,180,true
D001,L,ING001,22,false
D001,L,ING010,220,true

D002,S,ING001,16,false
D002,S,ING002,25,false
D002,S,ING010,150,true
D002,M,ING001,18,false
D002,M,ING002,30,false
D002,M,ING010,180,true
D002,L,ING001,22,false
D002,L,ING002,40,false
D002,L,ING010,220,true

D003,S,ING001,10,false
D003,S,ING002,35,false
D003,S,ING003,100,false
D003,S,ING010,150,true
D003,M,ING001,12,false
D003,M,ING002,40,false
D003,M,ING003,120,false
D003,M,ING010,180,true
D003,L,ING001,15,false
D003,L,ING002,50,false
D003,L,ING003,150,false
D003,L,ING010,220,true

D004,S,ING001,18,false
D004,M,ING001,20,false
D004,L,ING001,24,false

D005,S,ING001,18,false
D005,S,ING010,120,true
D005,M,ING001,20,false
D005,M,ING010,150,true
D005,L,ING001,24,false
D005,L,ING010,180,true

D006,S,ING001,18,false
D006,S,ING003,120,false
D006,M,ING001,20,false
D006,M,ING003,150,false
D006,L,ING001,24,false
D006,L,ING003,180,false

D007,S,ING001,18,false
D007,S,ING003,140,false
D007,M,ING001,20,false
D007,M,ING003,170,false
D007,L,ING001,24,false
D007,L,ING003,200,false

D008,S,ING001,18,false
D008,S,ING003,130,false
D008,S,ING006,15,true
D008,M,ING001,20,false
D008,M,ING003,150,false
D008,M,ING006,20,true
D008,L,ING001,24,false
D008,L,ING003,180,false
D008,L,ING006,25,true

D009,S,ING005,12,false
D009,S,ING003,150,false
D009,S,ING009,15,true
D009,M,ING005,15,false
D009,M,ING003,180,false
D009,M,ING009,20,true
D009,L,ING005,18,false
D009,L,ING003,220,false
D009,L,ING009,25,true

D010,M,ING011,8,false
D010,M,ING015,1,false
D010,M,ING016,4,false
D010,M,ING018,1,true
D010,M,ING009,20,true
D010,M,ING010,180,true
D010,L,ING011,10,false
D010,L,ING015,2,false
D010,L,ING016,5,false
D010,L,ING018,1,true
D010,L,ING009,25,true
D010,L,ING010,220,true

D011,M,ING011,8,false
D011,M,ING017,6,false
D011,M,ING009,20,true
D011,M,ING010,180,true
D011,L,ING011,10,false
D011,L,ING017,8,false
D011,L,ING009,25,true
D011,L,ING010,220,true

D012,M,ING012,8,false
D012,M,ING008,20,true
D012,M,ING010,180,true
D012,L,ING012,10,false
D012,L,ING008,25,true
D012,L,ING010,220,true

D013,M,ING011,8,false
D013,M,ING019,1,false
D013,M,ING009,15,true
D013,M,ING010,180,true
D013,L,ING011,10,false
D013,L,ING019,2,false
D013,L,ING009,20,true
D013,L,ING010,220,true

D014,M,ING011,8,false
D014,M,ING003,120,false
D014,M,ING024,30,true
D014,M,ING009,20,true
D014,L,ING011,10,false
D014,L,ING003,150,false
D014,L,ING024,40,true
D014,L,ING009,25,true

D015,M,ING004,10,false
D015,M,ING003,120,false
D015,M,ING013,25,false
D015,M,ING014,40,true
D015,L,ING004,12,false
D015,L,ING003,150,false
D015,L,ING013,30,false
D015,L,ING014,50,true

D016,M,ING011,8,false
D016,M,ING003,100,false
D016,M,ING013,30,false
D016,M,ING014,40,true
D016,L,ING011,10,false
D016,L,ING003,120,false
D016,L,ING013,35,false
D016,L,ING014,50,true

D017,M,ING004,10,false
D017,M,ING003,150,false
D017,M,ING024,40,true
D017,M,ING010,250,true
D017,L,ING004,12,false
D017,L,ING003,180,false
D017,L,ING024,50,true
D017,L,ING010,300,true

D018,M,ING005,15,false
D018,M,ING003,150,false
D018,M,ING024,40,true
D018,M,ING010,250,true
D018,L,ING005,18,false
D018,L,ING003,180,false
D018,L,ING024,50,true
D018,L,ING010,300,true

D019,M,ING023,4,false
D019,M,ING003,150,false
D019,M,ING024,40,true
D019,M,ING010,250,true
D019,L,ING023,5,false
D019,L,ING003,180,false
D019,L,ING024,50,true
D019,L,ING010,300,true

D020,M,ING021,0.5,false
D020,M,ING010,150,true
D020,L,ING021,0.7,false
D020,L,ING010,180,true

D021,M,ING015,2,false
D021,M,ING010,150,true
D021,L,ING015,3,false
D021,L,ING010,180,true

D022,M,ING020,2,false
D022,M,ING010,150,true
D022,L,ING020,3,false
D022,L,ING010,180,true

D023,M,ING022,0.5,false
D023,M,ING010,150,true
D023,L,ING022,0.7,false
D023,L,ING010,180,true

D024,M,ING019,2,false
D024,M,ING010,250,true
D024,M,ING009,20,true
D024,L,ING019,3,false
D024,L,ING010,300,true
D024,L,ING009,25,true
