SupplierID,Name,ContactPerson,Phone,Email,Address,ItemsSupplied,Status
SUP001,"Công ty Cà phê Nguyên Chất Trường Quyền",Nguyễn Văn An,0901234567,beans@truongquyen.vn,Quận 7 - TP.HCM,"Cà phê hạt / Cà phê bột",Hoạt động
SUP002,"Công ty Trà Bảo Lộc",Trần Thị Mai,0902234567,tea@traviet.vn,Tân Bình - TP.HCM,"Trà xanh / Trà đen / Trà Oolong",Hoạt động
SUP003,"Công ty Monin Việt Nam",Lê Hoàng Phúc,0903234567,monin@monin.vn,Quận 1 - TP.HCM,"Siro / Sauce / Mứt trái cây",Hoạt động
SUP004,"Công ty Sữa Vinamilk",Phạm Minh Tuấn,0904234567,contact@vinamilk.com.vn,TP.HCM,"Sữa tươi / Sữa đặc / Kem béo",Hoạt động
SUP005,"Nông trại Trái cây Long An",Nguyễn Văn Bình,0905234567,fruit@longanfarm.vn,Long An,"Trái cây tươi / Chanh / Tắc",Hoạt động
SUP006,"Công ty Nguyên liệu Pha Chế Việt",Đặng Quốc Khánh,0906234567,info@phacheviet.vn,Gò Vấp - TP.HCM,"Bột Matcha / Cacao / Trân châu",Hoạt động
SUP007,"Công ty ABC Bakery",Trần Hoài Nam,0907234567,sales@abcbakery.vn,Bình Thạnh - TP.HCM,"Bánh ngọt / Bánh mì",Hoạt động
SUP008,"Đại lý Đá sạch & Nước tinh khiết An Phát",Vũ Văn Tấn,0908234567,anphatice@gmail.com,Quận 10 - TP.HCM,"Đá viên / Nước đóng chai",Hoạt động
SUP009,"Công ty Bao bì & Ly giấy EcoGreen",Bùi Thị Hương,0909234567,ecogreen@packaging.vn,Tân Phú - TP.HCM,"Ly giấy / Ống hút / Túi mang đi",Hoạt động
SUP010,"Nhà cung cấp Thiết bị & Máy pha Phố Cổ",Hoàng Trọng Nghĩa,0910234567,support@phocotech.vn,Quận 3 - TP.HCM,"Máy pha cà phê / Máy xay / Linh kiện",Tạm dừng
