Date,Type,Amount,Note
<<<<<<< HEAD
2026-07-20,Thu,1500000,Doanh thu ban hang
2026-07-21,Chi,500000,Nhap nguyen lieu ca phe2026-07-26 16:04:42,Thu,145000,Bán hàng (4 món)
=======
2026-01-10,Thu,12500000,Doanh thu tuần 2 tháng 1
2026-01-15,Chi,4500000,Nhập nguyên liệu đầu năm
2026-01-28,Thu,15000000,Doanh thu Tết Nguyên Đán
2026-02-14,Thu,18500000,Doanh thu Lễ tình nhân (Valentine)
2026-02-20,Chi,6000000,Lương nhân viên tháng 2
2026-03-05,Thu,11000000,Doanh thu tuần 1 tháng 3
2026-03-12,Chi,3500000,Bảo trì máy pha cà phê
2026-03-25,Thu,14000000,Doanh thu cuối tháng 3
2026-04-10,Thu,16500000,Doanh thu đầu quý 2
2026-04-15,Chi,5500000,Nhập hàng quý 2 (sữa, cà phê, syrup)
2026-04-30,Thu,22000000,Doanh thu Lễ 30/4
2026-05-01,Thu,25000000,Doanh thu Quốc tế Lao động
2026-05-10,Chi,7000000,Thanh toán tiền mặt bằng
2026-05-20,Thu,13500000,Doanh thu giữa tháng 5
2026-06-05,Thu,14500000,Doanh thu đầu tháng 6
2026-06-18,Chi,4000000,Mua thêm ly nhựa và ống hút
2026-06-25,Thu,15500000,Doanh thu cuối quý 2
2026-07-02,Thu,5500000,Doanh thu tuần 1 tháng 7
2026-07-08,Chi,2000000,Tiền điện nước tháng trước
2026-07-15,Thu,6000000,Doanh thu tuần 2 tháng 7
2026-07-20,Thu,8500000,Doanh thu tuần 3 tháng 7
2026-07-21,Chi,4500000,Nhập nguyên liệu pha chế
2026-07-26,Thu,4500000,Bán hàng cuối tuần 4
2026-07-30,Chi,6500000,Lương nhân viên tháng 7
2026-08-01,Thu,3500000,Doanh thu đầu tháng 8
2026-08-03,Chi,1500000,Phí vệ sinh và internet
2026-08-05,Thu,4200000,Bán hàng giữa tuần
2026-08-06,Thu,2800000,Doanh thu hôm nay
>>>>>>> afe6c00c3135d8e2393b4c103e548335d72df726
