InvoiceNumber,Date,Time,CustomerName,TotalAmount,Discount,VoucherCode,Status,ItemsJson
HD20260807-083937,07/08/2026,08:39:37,"Khách SĐT: 0981727276",40500,4500,VC-SNGFET,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":45000}]"
HD20260807-083920,07/08/2026,08:39:20,"Khách SĐT: 0981727276",1.35e+06,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D004"",""name"":""Espresso"",""note"":"""",""quantity"":30,""size"":""L"",""toppings"":"""",""totalPrice"":1350000}]"
HD20260807-083856,07/08/2026,08:38:56,"Khách SĐT: 0981727276",870000,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D002"",""name"":""Cà phê sữa đá"",""note"":"""",""quantity"":30,""size"":""S"",""toppings"":"""",""totalPrice"":870000}]"
HD20260807-082656,07/08/2026,08:26:56,"Khách SĐT: 0981727276",2.75e+06,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":50,""size"":""L"",""toppings"":"""",""totalPrice"":2750000}]"
HD20260807-082303,07/08/2026,08:23:03,"Khách SĐT: 0981727276",6.37e+06,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":130,""size"":""M"",""toppings"":"""",""totalPrice"":6370000}]"
HD20260807-082229,07/08/2026,08:22:29,"Khách SĐT: 0981727276",1.229e+06,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D008"",""name"":""Mocha"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":49000},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D008"",""name"":""Mocha"",""note"":"""",""quantity"":20,""size"":""L"",""toppings"":"""",""totalPrice"":1180000}]"
HD20260807-082209,07/08/2026,08:22:09,"Khách vãng lai",49000,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000}]"
HD20260807-065005,07/08/2026,06:50:05,"Khách vãng lai",94000,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":45000},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000}]"
HD20260807-064917,07/08/2026,06:49:17,"Khách vãng lai",88000,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D005"",""name"":""Americano"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":39000},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":49000}]"
HD20260807-064631,07/08/2026,06:46:31,"Khách vãng lai",273000,0,,Completed,"[{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D006"",""name"":""Cappuccino"",""note"":"""",""quantity"":1,""size"":""S"",""toppings"":"""",""totalPrice"":45000},{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D012"",""name"":""Trà ô long sen vàng"",""note"":""hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"",""quantity"":3,""size"":""M"",""toppings"":""Whipping, Thạch"",""totalPrice"":228000}]"
HD20260807-064258,07/08/2026,06:42:58,"Khách vãng lai",4.698e+06,0,,Completed,"[{""category"":""Drink"",""ice"":""Nhiều đá"",""id"":""D003"",""name"":""Bạc xỉu"",""note"":"""",""quantity"":99,""size"":""S"",""toppings"":""Whipping"",""totalPrice"":4653000},{""category"":""Drink"",""ice"":""Bình thường"",""id"":""D010"",""name"":""Trà đào cam sả"",""note"":"""",""quantity"":1,""size"":""M"",""toppings"":"""",""totalPrice"":45000}]"
